codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240940,Pau dos Ferros,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,30394,116,3,0.0038165427386984275,0.02586206896551724,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,9407.0,2409407,Pau dos Ferros,240940,2409407,259.959,30394,106.73,95.5,0.678,4.84,59848.10733,60559.64779,16194.89,2409407,-0.32106368414851794,63.943296723859326,0,45.670478791273844,13.505432333402046,1.2648548372751218,1774.1052749917785,0.12060722944514345
240950,Pedra Grande,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,3237,63,0,0.019462465245597776,0.0,3,24003,João Câmara,Mato Grande/Salineira,4,Leste Potiguar,16,Litoral Nordeste,9506.0,2409506,Pedra Grande,240950,2409506,221.167,3237,15.9,97.1,0.559,19.23,23781.91021,22217.36944,61643.53,2409506,-0.7320834960552071,78.11792712237148,0,72.2619290626354,7.079535997554476,0.0,877.1358902775197,0.05559293145283917
240960,Pedra Preta,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,2458,6,0,0.0024410089503661514,0.0,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,9,Angicos,9605.0,2409605,Pedra Preta,240960,2409605,294.985,2458,8.78,98.5,0.558,64.52,14169.85643,12078.19898,9862.84,2409605,-0.6813166348748838,78.93498412958495,0,76.94659215673056,13.837493403245062,0.0,847.8153716490175,0.06453499543325593
240970,Pedro Avelino,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,6716,19,1,0.002829064919594997,0.05263157894736842,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,9,Angicos,9704.0,2409704,Pedro Avelino,240970,2409704,952.755,6716,7.53,98.8,0.583,23.81,19178.262,17245.35175,7830.22,2409704,-0.641245745941906,78.91656280010444,0,65.26021918045679,14.155709058250133,0.15278747759241895,1089.540722536794,0.07212203440584197
240980,Pedro Velho,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,14806,101,2,0.006821558827502364,0.0198019801980198,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,19,Litoral Sul,9803.0,2409803,Pedro Velho,240980,2409803,192.708,14806,73.24,98.8,0.568,21.86,33447.26454,34021.18599,8242.77,2409803,-0.6778345798515548,79.34918860789811,0,68.11947296866904,11.11201774930838,0.1615529661123194,997.13869236004,0.07959690651285811
240990,Pendências,24008,8ª REGIAO DE SAUDE - ACU,15129,264,14,0.017449930596866944,0.05303030303030303,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,4,Vale do Açu,9902.0,2409902,Pendências,240990,2409902,419.137,15129,32.05,97.7,0.631,13.42,40711.72683,36830.61953,18855.95,2409902,-0.5692042519056401,70.7960748639883,0,57.21142423940481,7.556295254391498,0.5751219216728121,1441.3147289693811,0.03795572876203401
241000,Pilões,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,3838,24,0,0.006253256904637832,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,10009.0,2410009,Pilões,241000,2410009,82.69,3838,41.76,97.9,0.614,30.3,11878.57135,11917.51878,9143.42,2410009,-0.6044375178841179,71.59707759573249,0,66.9018830599997,3.984172635972056,0.3132632992411448,1008.540917241708,0.06484383029037487
241010,Poço Branco,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,15413,197,4,0.012781418283267372,0.02030456852791878,3,24003,João Câmara,Mato Grande/Salineira,3,Agreste Potiguar,13,Baixa Verde,10108.0,2410108,Poço Branco,241010,2410108,230.401,15413,60.54,95.0,0.587,12.12,28507.36788,29631.69773,6952.07,2410108,-0.6808779015717089,76.11335721157829,0,71.04364866377712,7.7200198134007625,0.4698195500761742,1195.3737698375726,0.06650259093804856
241020,Portalegre,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,7867,32,0,0.00406762425320961,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,10207.0,2410207,Portalegre,241020,2410207,110.054,7867,66.51,98.5,0.621,10.0,20800.86847,19115.76775,7555.02,2410207,-0.5650974099895738,72.1632307017939,0,63.712046300554285,5.2505055307940935,0.4793620213145502,1099.8231790521293,0.08894229444189428
241025,Porto do Mangue,24008,8ª REGIAO DE SAUDE - ACU,6437,66,3,0.010253223551343794,0.045454545454545456,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,4,Vale do Açu,10256.0,2410256,Porto do Mangue,241025,2410256,361.237,6437,16.36,97.2,0.59,11.11,26624.442,28206.94339,17319.28,2410256,-0.7049045192925059,76.72699730641274,0,71.30826557033562,9.362696737316362,0.0,966.00669832785,0.05590549859127414
